Rule,Support,Confidence,Lift
リン 使用油である日石タービン 含む =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
亜鉛 使用油である日石タービン 含む =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
表面 茶褐色 当社推奨の管理限界値 なる =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
軸受軌道面の油膜形成 及ぼす =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
リン 検出する 当社推奨の管理限界値 上昇する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
亜鉛 検出する 当社推奨の管理限界値 上昇する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 鉄 検出する =>スラッジの発生重量汚染度 上昇する,0.03571428571428571,1.0,28.0
バリウム 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
マンガン クロム 含む =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
油の添加剤成分 含む =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
鉄 含む =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
銅 含む =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>ニッケル マンガン 含む,0.03571428571428571,1.0,28.0
ニッケル マンガン 含む =>バリウム 検出する,0.03571428571428571,1.0,28.0
マンガン クロム 含む =>バリウム 検出する,0.03571428571428571,1.0,28.0
油の添加剤成分 含む =>バリウム 検出する,0.03571428571428571,1.0,28.0
鉄 含む =>バリウム 検出する,0.03571428571428571,1.0,28.0
銅 含む =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>バリウム 検出する,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>バリウム 検出する,0.03571428571428571,1.0,28.0
フレーキング 進行する =>フレッティング 発生する,0.03571428571428571,1.0,28.0
赤錆 検出する =>フレッティング 発生する,0.03571428571428571,1.0,28.0
フレッティング 発生する =>フレーキング 進行する,0.03571428571428571,1.0,28.0
赤錆 検出する =>フレーキング 進行する,0.03571428571428571,1.0,28.0
ニッケル マンガン 含む =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
バリウム 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
油の添加剤成分 含む =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
鉄 含む =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
銅 含む =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>マンガン クロム 含む,0.03571428571428571,1.0,28.0
